modelo,accuracy_test,f1_test,recall_toxic,precision_toxic,acc_gap,f1_gap
RandomForestClassifier,0.745,0.73723991507431,0.5760869565217391,0.8153846153846154,0.08988372093023256,0.09589665824065918
GradientBoostingClassifier,0.74,0.736584564860427,0.6304347826086957,0.7631578947368421,0.16000000000000003,0.16310294192110975
LogisticRegression,0.735,0.7329958493544855,0.6521739130434783,0.7407407407407407,0.2126744186046512,0.2146768004781887
SVC,0.725,0.7234285714285714,0.6521739130434783,0.7228915662650602,0.2459302325581395,0.24749690448081885
XGBClassifier,0.73,0.7232500000000001,0.5760869565217391,0.7794117647058824,0.1804651162790698,0.18673204262734977
LGBMClassifier,0.715,0.7108910076842023,0.5978260869565217,0.7333333333333333,0.21290697674418613,0.2168749388094927
ExtraTreesClassifier,0.7,0.6877758913412564,0.5,0.7666666666666667,0.2151162790697675,0.2267904286281519
KNeighborsClassifier,0.64,0.6405404864377942,0.6630434782608695,0.5980392156862745,0.15186046511627904,0.15108303354639552
